team1,team2,winner,margin,ground,match_date,match_id
India,South Africa,India,7 runs,Bridgetown,29-06-2024,T20I # 2729
England,India,India,68 runs,Providence,27-06-2024,T20I # 2724
Afghanistan,South Africa,South Africa,9 wickets,Tarouba,26-06-2024,T20I # 2723
Afghanistan,Bangladesh,Afghanistan,8 runs,Kingstown,24-06-2024,T20I # 2722
Australia,India,India,24 runs,Gros Islet,24-06-2024,T20I # 2721
West Indies,South Africa,South Africa,3 wickets,North Sound,23-06-2024,T20I # 2720
England,U.S.A.,England,10 wickets,Bridgetown,23-06-2024,T20I # 2719
Afghanistan,Australia,Afghanistan,21 runs,Kingstown,22-06-2024,T20I # 2717
Bangladesh,India,India,50 runs,North Sound,22-06-2024,T20I # 2716
West Indies,U.S.A.,West Indies,9 wickets,Bridgetown,21-06-2024,T20I # 2713
England,South Africa,South Africa,7 runs,Gros Islet,21-06-2024,T20I # 2712
Australia,Bangladesh,Australia,28 runs,North Sound,20-06-2024,T20I # 2711
Afghanistan,India,India,47 runs,Bridgetown,20-06-2024,T20I # 2710
West Indies,England,England,8 wickets,Gros Islet,19-06-2024,T20I # 2709
South Africa,U.S.A.,South Africa,18 runs,North Sound,19-06-2024,T20I # 2708
West Indies,Afghanistan,West Indies,104 runs,Gros Islet,17-06-2024,T20I # 2703
New Zealand,P.N.G.,New Zealand,7 wickets,Tarouba,17-06-2024,T20I # 2702
Netherlands,Sri Lanka,Sri Lanka,83 runs,Gros Islet,16-06-2024,T20I # 2699
Bangladesh,Nepal,Bangladesh,21 runs,Kingstown,16-06-2024,T20I # 2698
Ireland,Pakistan,Pakistan,3 wickets,Lauderhill,16-06-2024,T20I # 2697
Australia,Scotland,Australia,5 wickets,Gros Islet,15-06-2024,T20I # 2689
England,Namibia,England,41 runs,North Sound,15-06-2024,T20I # 2688
New Zealand,Uganda,New Zealand,9 wickets,Tarouba,14-06-2024,T20I # 2682
Nepal,South Africa,South Africa,1 run,Kingstown,14-06-2024,T20I # 2681
Afghanistan,P.N.G.,Afghanistan,7 wickets,Tarouba,13-06-2024,T20I # 2679
England,Oman,England,8 wickets,North Sound,13-06-2024,T20I # 2678
Bangladesh,Netherlands,Bangladesh,25 runs,Kingstown,13-06-2024,T20I # 2677
West Indies,New Zealand,West Indies,13 runs,Tarouba,12-06-2024,T20I # 2672
U.S.A.,India,India,7 wickets,New York,12-06-2024,T20I # 2671
Australia,Namibia,Australia,9 wickets,North Sound,11-06-2024,T20I # 2666
Canada,Pakistan,Pakistan,7 wickets,New York,11-06-2024,T20I # 2665
Bangladesh,South Africa,South Africa,4 runs,New York,10-06-2024,T20I # 2664
Oman,Scotland,Scotland,7 wickets,North Sound,09-06-2024,T20I # 2659
India,Pakistan,India,6 runs,New York,09-06-2024,T20I # 2658
West Indies,Uganda,West Indies,134 runs,Providence,08-06-2024,T20I # 2651
Australia,England,Australia,36 runs,Bridgetown,08-06-2024,T20I # 2650
Netherlands,South Africa,South Africa,4 wickets,New York,08-06-2024,T20I # 2649
Bangladesh,Sri Lanka,Bangladesh,2 wickets,Dallas,07-06-2024,T20I # 2646
Afghanistan,New Zealand,Afghanistan,84 runs,Providence,07-06-2024,T20I # 2645
Canada,Ireland,Canada,12 runs,New York,07-06-2024,T20I # 2644
Namibia,Scotland,Scotland,5 wickets,Bridgetown,06-06-2024,T20I # 2643
U.S.A.,Pakistan,tied,-,Dallas,06-06-2024,T20I # 2642
Australia,Oman,Australia,39 runs,Bridgetown,05-06-2024,T20I # 2641
P.N.G.,Uganda,Uganda,3 wickets,Providence,05-06-2024,T20I # 2640
India,Ireland,India,8 wickets,New York,05-06-2024,T20I # 2639
Nepal,Netherlands,Netherlands,6 wickets,Dallas,04-06-2024,T20I # 2638
England,Scotland,no result,-,Bridgetown,04-06-2024,T20I # 2637
Afghanistan,Uganda,Afghanistan,125 runs,Providence,03-06-2024,T20I # 2636
South Africa,Sri Lanka,South Africa,6 wickets,New York,03-06-2024,T20I # 2635
Namibia,Oman,tied,-,Bridgetown,02-06-2024,T20I # 2634
West Indies,P.N.G.,West Indies,5 wickets,Providence,02-06-2024,T20I # 2633
U.S.A.,Canada,U.S.A.,7 wickets,Dallas,01-06-2024,T20I # 2632
